id_mesure,date,batiment,type_batiment,zone,temperature,humidite,co2,occupation,consommation_kwh,mode_climatisation,etat_systeme,jour_semaine,alerte
1174,2025-02-13 06:00:00,B8,Entrepôt,A,23.0,40.0,851.0,26.0,138.4,Eco,Normal,Jeudi,Non
1275,2025-03-10 12:00:00,B7,Bureau,D,28.0,69.0,538.0,0.0,170.2,Eco,Normal,Lundi,Non
1493,2025-05-04 00:00:00,B5,Centre commercial,B,19.5,52.3,1198.0,64.0,149.8,Normal,Normal,Dimanche,Oui
1073,2025-01-19 00:00:00,B6,Université,D,20.0,58.4,1014.0,30.0,141.6,Normal,Normal,Dimanche,Non
1454,2025-04-24 06:00:00,B7,Bureau,D,26.8,70.5,628.0,42.0,228.3,Normal,Normal,Jeudi,Non
1077,2025-01-20 00:00:00,B3,Hôpital,D,24.2,51.5,624.0,52.0,171.9,Eco,Normal,Lundi,Non
1317,2025-03-21 00:00:00,B4,Bureau,B,25.1,64.4,747.0,0.0,130.5,Normal,Normal,Vendredi,Non
1141,2025-02-05 00:00:00,B2,École,D,72.5,78.3,257.0,100.0,239.7,Boost,Alerte,Mercredi,Non
1473,2025-04-29 00:00:00,B5,Centre commercial,C,24.0,78.4,751.0,0.0,82.9,Normal,Panne,Mardi,Non
1118,2025-01-30 06:00:00,B1,Bureau,A,22.0,,479.0,64.0,145.0,Normal,Normal,Jeudi,Non
1219,2025-02-24 12:00:00,B8,Entrepôt,C,27.4,49.2,877.0,72.0,214.4,Normal,Normal,Lundi,Non
1010,2025-01-03 06:00:00,B4,Bureau,D,27.0,61.2,555.0,55.0,171.3,Normal,Normal,Vendredi,Non
1416,2025-04-14 18:00:00,B5,Centre commercial,D,24.3,53.1,1077.0,70.0,183.6,Normal,Normal,Lundi,Oui
1079,2025-01-20 12:00:00,B2,École,A,26.9,49.3,594.0,37.0,231.0,Boost,Normal,Lundi,Non
1324,2025-03-22 18:00:00,B5,Centre commercial,B,24.7,52.8,1051.0,52.0,133.9,Eco,Normal,Samedi,Oui
1475,2025-04-29 12:00:00,B3,Hôpital,A,29.2,68.6,859.0,14.0,169.3,Normal,Alerte,Mardi,Non
1125,2025-02-01 00:00:00,B5,Centre commercial,B,20.7,74.8,889.0,55.0,156.3,Normal,Normal,Samedi,Non
1425,2025-04-17 00:00:00,B7,Bureau,C,21.6,52.0,633.0,22.0,121.2,Normal,Normal,Jeudi,Non
1196,2025-02-18 18:00:00,B7,Bureau,D,26.0,67.3,574.0,51.0,204.7,Normal,Normal,Mardi,Non
1450,2025-04-23 06:00:00,B1,Bureau,B,25.9,56.0,1205.0,21.0,128.8,Normal,Normal,Mercredi,Oui
1272,2025-03-09 18:00:00,B3,Hôpital,B,26.7,56.5,1364.0,51.0,237.5,Boost,Alerte,Dimanche,Oui
1279,2025-03-11 12:00:00,B2,École,B,25.1,56.4,568.0,57.0,184.5,Normal,Normal,Mardi,Non
1031,2025-01-08 12:00:00,B2,École,D,26.1,57.6,648.0,-5.0,170.0,Eco,Normal,Mercredi,Non
1264,2025-03-07 18:00:00,B1,Bureau,B,21.1,38.3,1034.0,74.0,199.2,Normal,Panne,Vendredi,Oui
1423,2025-04-16 12:00:00,B7,Bureau,D,24.2,56.9,707.0,0.0,80.0,Eco,Normal,Mercredi,Non
1447,2025-04-22 12:00:00,B7,Bureau,A,27.7,46.6,613.0,20.0,116.0,Eco,Normal,Mardi,Non
1080,2025-01-20 18:00:00,B1,Bureau,D,26.4,56.3,668.0,41.0,208.9,Boost,Normal,Lundi,Non
1456,2025-04-24 18:00:00,B5,Centre commercial,D,26.8,61.3,843.0,59.0,186.9,Normal,Normal,Jeudi,Non
1211,2025-02-22 12:00:00,B6,Université,D,16.6,42.3,6000.0,40.0,82.5,Eco,Panne,Samedi,Non
1499,2025-05-05 12:00:00,B4,Bureau,B,25.2,66.3,631.0,42.0,144.5,Eco,Normal,Lundi,Non
1173,2025-02-13 00:00:00,B8,Entrepôt,C,27.9,27.6,1000.0,62.0,220.9,Eco,Normal,Jeudi,Oui
1321,2025-03-22 00:00:00,B5,Centre commercial,A,23.6,45.0,934.0,93.0,232.7,Normal,Normal,Samedi,Oui
1376,2025-04-04 18:00:00,B5,Centre commercial,B,19.4,68.0,560.0,20.0,70.1,Eco,Normal,Vendredi,Non
1363,2025-04-01 12:00:00,B6,Université,B,,68.0,728.0,83.0,205.9,Eco,Normal,Mardi,Non
1469,2025-04-28 00:00:00,B1,Bureau,D,21.7,74.6,872.0,35.0,133.4,Eco,Normal,Lundi,Oui
1154,2025-02-08 06:00:00,B6,Université,B,25.7,57.0,771.0,76.0,247.5,Boost,Normal,Samedi,Non
1003,2025-01-01 12:00:00,B7,Bureau,A,21.3,53.4,899.0,25.0,118.1,Normal,Normal,Mercredi,Non
1337,2025-03-26 00:00:00,B8,Entrepôt,A,20.3,56.7,1113.0,74.0,,Normal,Normal,Mercredi,Oui
1209,2025-02-22 00:00:00,B7,Bureau,D,21.4,80.2,520.0,49.0,152.5,Normal,Alerte,Samedi,Non
1074,2025-01-19 06:00:00,B5,Centre commercial,A,21.2,62.3,785.0,18.0,101.5,Normal,Normal,Dimanche,Non
1498,2025-05-05 06:00:00,B8,Entrepôt,C,26.4,61.0,760.0,44.0,133.7,Eco,Normal,Lundi,Non
1308,2025-03-18 18:00:00,B2,École,D,25.3,31.4,748.0,34.0,167.9,Eco,Normal,Mardi,Non
1205,2025-02-21 00:00:00,B4,Bureau,A,25.0,75.4,,63.0,193.9,Normal,Normal,Vendredi,Non
1069,2025-01-18 00:00:00,B2,École,D,23.7,40.5,490.0,54.0,185.2,Normal,Normal,Samedi,Non
1091,2025-01-23 12:00:00,B5,Centre commercial,B,28.3,72.8,5200.0,44.0,171.5,Eco,Normal,Jeudi,Oui
1392,2025-04-08 18:00:00,B7,Bureau,C,23.3,59.1,1254.0,28.0,106.7,Eco,Normal,Mardi,Oui
1034,2025-01-09 06:00:00,B2,École,C,29.2,64.4,356.0,57.0,244.0,Boost,Normal,Jeudi,Non
1071,2025-01-18 12:00:00,B2,ÉCOLE,C,21.6,58.8,645.0,33.0,137.4,Boost,Normal,Samedi,Non
1472,2025-04-28 18:00:00,B3,Hôpital,C,31.2,58.1,531.0,30.0,224.2,Boost,Normal,Lundi,Non
1001,2025-01-01 00:00:00,B8,Entrepôt,A,21.5,40.1,1031.0,50.0,150.4,Normal,Normal,Mercredi,Oui
1012,2025-01-03 18:00:00,B5,Centre commercial,C,22.9,58.5,544.0,43.0,172.2,Normal,Normal,Vendredi,Non
1282,2025-03-12 06:00:00,B1,Bureau,B,22.2,64.9,1022.0,40.0,136.7,Normal,Normal,Mercredi,Oui
1023,2025-01-06 12:00:00,B1,Bureau,B,,66.1,1299.0,75.0,187.0,Normal,Normal,Lundi,Oui
1102,2025-01-26 06:00:00,B4,Bureau,C,21.3,38.5,1046.0,33.0,114.0,Normal,Normal,Dimanche,Oui
1269,2025-03-09 00:00:00,B5,Centre commercial,B,29.7,48.3,1084.0,71.0,239.5,Eco,Normal,Dimanche,Oui
1487,2025-05-02 12:00:00,B5,Centre commercial,B,24.7,56.8,845.0,53.0,207.1,Normal,Normal,Vendredi,Non
1479,2025-04-30 12:00:00,B3,Hôpital,B,23.9,68.9,644.0,27.0,162.5,Normal,Normal,Mercredi,Non
1291,2025-03-14 12:00:00,B8,Entrepôt,B,20.5,49.8,497.0,13.0,64.8,Eco,Alerte,Vendredi,Non
1085,2025-01-22 00:00:00,B4,Bureau,A,19.4,54.6,826.0,36.0,120.1,Normal,Normal,Mercredi,Non
1246,2025-03-03 06:00:00,B5,Centre commercial,A,24.2,108.0,813.0,18.0,-15.0,Normal,Normal,Lundi,Non
1064,2025-01-16 18:00:00,B1,Bureau,C,26.1,62.3,915.0,17.0,144.2,Normal,Normal,Jeudi,Oui
1056,2025-01-14 18:00:00,B6,ecole,C,21.4,68.7,1022.0,62.0,224.4,Boost,Normal,Mardi,Oui
1230,2025-02-27 06:00:00,B8,Entrepôt,C,20.1,40.5,850.0,45.0,179.3,Boost,Normal,Jeudi,Non
1019,2025-01-05 12:00:00,B8,Entrepôt,D,14.5,57.0,769.0,10.0,45.9,Normal,Normal,Dimanche,Non
1352,2025-03-29 18:00:00,B6,Université,B,28.6,64.9,758.0,66.0,276.3,Boost,Normal,Samedi,Non
1210,2025-02-22 06:00:00,B6,Université,B,21.5,80.5,918.0,0.0,47.2,Eco,Normal,Samedi,Non
1397,2025-04-10 00:00:00,B8,Entrepôt,A,20.4,53.2,710.0,7.0,84.9,Normal,Normal,Jeudi,Non
1083,2025-01-21 12:00:00,B4,Bureau,C,25.8,74.3,995.0,58.0,188.7,Eco,Normal,Mardi,Oui
1040,2025-01-10 18:00:00,B7,Bureau,A,,52.6,1079.0,8.0,157.0,Boost,Normal,Vendredi,Oui
1458,2025-04-25 06:00:00,B8,Entrepôt,C,27.8,74.3,297.0,63.0,205.4,Eco,Normal,Vendredi,Non
1047,2025-01-12 12:00:00,B1,Bureau,D,22.6,51.0,1056.0,61.0,182.6,Normal,Normal,Dimanche,Oui
1415,2025-04-14 12:00:00,B8,Entrepôt,A,25.2,71.2,687.0,34.0,152.2,Normal,Panne,Lundi,Non
1461,2025-04-26 00:00:00,B6,Université,D,25.1,84.9,639.0,36.0,201.2,Boost,Normal,Samedi,Non
1356,2025-03-30 18:00:00,B8,Entrepôt,D,24.1,62.1,823.0,40.0,141.9,Eco,Alerte,Dimanche,Non
1078,2025-01-20 06:00:00,B7,Bureau,D,21.6,70.6,545.0,54.0,172.4,,Normal,Lundi,Non
1400,2025-04-10 18:00:00,B8,Entrepôt,A,24.9,58.1,884.0,30.0,137.6,Eco,Normal,Jeudi,Non
1105,2025-01-27 00:00:00,B8,Entrepôt,C,20.1,49.8,487.0,50.0,120.4,Normal,Normal,Lundi,Non
1204,2025-02-20 18:00:00,B1,Bureau,C,,55.3,1030.0,59.0,183.5,Normal,Normal,Jeudi,Oui
1383,2025-04-06 12:00:00,B8,Entrepôt,D,22.1,71.9,731.0,23.0,80.4,Eco,Normal,Dimanche,Non
1491,2025-05-03 12:00:00,B4,Bureau,A,27.5,82.2,366.0,0.0,129.3,Normal,Normal,Samedi,Non
1070,2025-01-18 06:00:00,B1,Bureau,A,23.0,74.7,669.0,60.0,156.7,Normal,Alerte,Samedi,Non
1410,2025-04-13 06:00:00,B1,Bureau,B,27.4,79.3,680.0,16.0,217.0,Boost,Normal,Dimanche,Non
1256,2025-03-05 18:00:00,B1,Bureau,D,27.8,45.0,1175.0,25.0,169.9,Normal,Alerte,Mercredi,Oui
1394,2025-04-09 06:00:00,B4,Bureau,B,23.9,74.7,430.0,43.0,185.0,Boost,Normal,Mercredi,Non
1313,2025-03-20 00:00:00,B6,Université,B,27.3,43.1,685.0,32.0,202.2,Boost,Normal,Jeudi,Non
1235,2025-02-28 12:00:00,B1,Bureau,D,23.7,56.5,1071.0,47.0,133.2,Normal,Normal,Vendredi,Oui
1462,2025-04-26 06:00:00,B5,Centre commercial,D,14.6,75.2,602.0,34.0,125.8,Normal,Normal,Samedi,Non
1325,2025-03-23 00:00:00,B2,École,D,23.4,42.8,351.0,66.0,175.0,Normal,Normal,Dimanche,Non
