id_mesure,date,batiment,type_batiment,zone,temperature,humidite,co2,occupation,consommation_kwh,mode_climatisation,etat_systeme,jour_semaine,alerte
1174,2025-02-13 06:00:00.000000,b8,entrepôt,a,23.0,40.0,851.0,26.0,138.4,eco,normal,jeudi,non
1275,2025-03-10 12:00:00.000000,b7,bureau,d,28.0,69.0,538.0,0.0,170.2,eco,normal,lundi,non
1493,2025-05-04 00:00:00.000000,b5,centre commercial,b,19.5,52.3,1198.0,64.0,149.8,normal,normal,dimanche,oui
1073,2025-01-19 00:00:00.000000,b6,université,d,20.0,58.4,1014.0,30.0,141.6,normal,normal,dimanche,non
1454,2025-04-24 06:00:00.000000,b7,bureau,d,26.8,70.5,628.0,42.0,228.3,normal,normal,jeudi,non
1077,2025-01-20 00:00:00.000000,b3,hôpital,d,24.2,51.5,624.0,52.0,171.9,eco,normal,lundi,non
1317,2025-03-21 00:00:00.000000,b4,bureau,b,25.1,64.4,747.0,0.0,130.5,normal,normal,vendredi,non
1141,2025-02-05 00:00:00.000000,b2,école,d,23.843762781186093,78.3,257.0,100.0,239.7,boost,alerte,mercredi,non
1473,2025-04-29 00:00:00.000000,b5,centre commercial,c,24.0,78.4,751.0,0.0,82.9,normal,panne,mardi,non
1118,2025-01-30 06:00:00.000000,b1,bureau,a,22.0,57.4,479.0,64.0,145.0,normal,normal,jeudi,non
1219,2025-02-24 12:00:00.000000,b8,entrepôt,c,27.4,49.2,877.0,72.0,214.4,normal,normal,lundi,non
1010,2025-01-03 06:00:00.000000,b4,bureau,d,27.0,61.2,555.0,55.0,171.3,normal,normal,vendredi,non
1416,2025-04-14 18:00:00.000000,b5,centre commercial,d,24.3,53.1,1077.0,70.0,183.6,normal,normal,lundi,oui
1079,2025-01-20 12:00:00.000000,b2,école,a,26.9,49.3,594.0,37.0,231.0,boost,normal,lundi,non
1324,2025-03-22 18:00:00.000000,b5,centre commercial,b,24.7,52.8,1051.0,52.0,133.9,eco,normal,samedi,oui
1475,2025-04-29 12:00:00.000000,b3,hôpital,a,29.2,68.6,859.0,14.0,169.3,normal,alerte,mardi,non
1125,2025-02-01 00:00:00.000000,b5,centre commercial,b,20.7,74.8,889.0,55.0,156.3,normal,normal,samedi,non
1425,2025-04-17 00:00:00.000000,b7,bureau,c,21.6,52.0,633.0,22.0,121.2,normal,normal,jeudi,non
1196,2025-02-18 18:00:00.000000,b7,bureau,d,26.0,67.3,574.0,51.0,204.7,normal,normal,mardi,non
1450,2025-04-23 06:00:00.000000,b1,bureau,b,25.9,56.0,1205.0,21.0,128.8,normal,normal,mercredi,oui
1272,2025-03-09 18:00:00.000000,b3,hôpital,b,26.7,56.5,1364.0,51.0,237.5,boost,alerte,dimanche,oui
1279,2025-03-11 12:00:00.000000,b2,école,b,25.1,56.4,568.0,57.0,184.5,normal,normal,mardi,non
1031,2025-01-08 12:00:00.000000,b2,école,d,26.1,57.6,648.0,45.39717741935484,170.0,eco,normal,mercredi,non
1264,2025-03-07 18:00:00.000000,b1,bureau,b,21.1,38.3,1034.0,74.0,199.2,normal,panne,vendredi,oui
1423,2025-04-16 12:00:00.000000,b7,bureau,d,24.2,56.9,707.0,0.0,80.0,eco,normal,mercredi,non
1447,2025-04-22 12:00:00.000000,b7,bureau,a,27.7,46.6,613.0,20.0,116.0,eco,normal,mardi,non
1080,2025-01-20 18:00:00.000000,b1,bureau,d,26.4,56.3,668.0,41.0,208.9,boost,normal,lundi,non
1456,2025-04-24 18:00:00.000000,b5,centre commercial,d,26.8,61.3,843.0,59.0,186.9,normal,normal,jeudi,non
1211,2025-02-22 12:00:00.000000,b6,université,d,16.6,42.3,6000.0,40.0,82.5,eco,panne,samedi,non
1499,2025-05-05 12:00:00.000000,b4,bureau,b,25.2,66.3,631.0,42.0,144.5,eco,normal,lundi,non
1173,2025-02-13 00:00:00.000000,b8,entrepôt,c,27.9,27.6,1000.0,62.0,220.9,eco,normal,jeudi,oui
1321,2025-03-22 00:00:00.000000,b5,centre commercial,a,23.6,45.0,934.0,93.0,232.7,normal,normal,samedi,oui
1376,2025-04-04 18:00:00.000000,b5,centre commercial,b,19.4,68.0,560.0,20.0,70.1,eco,normal,vendredi,non
1363,2025-04-01 12:00:00.000000,b6,université,b,23.843762781186093,68.0,728.0,83.0,205.9,eco,normal,mardi,non
1469,2025-04-28 00:00:00.000000,b1,bureau,d,21.7,74.6,872.0,35.0,133.4,eco,normal,lundi,oui
1154,2025-02-08 06:00:00.000000,b6,université,b,25.7,57.0,771.0,76.0,247.5,boost,normal,samedi,non
1003,2025-01-01 12:00:00.000000,b7,bureau,a,21.3,53.4,899.0,25.0,118.1,normal,normal,mercredi,non
1337,2025-03-26 00:00:00.000000,b8,entrepôt,a,20.3,56.7,1113.0,74.0,170.7987951807229,normal,normal,mercredi,oui
1209,2025-02-22 00:00:00.000000,b7,bureau,d,21.4,80.2,520.0,49.0,152.5,normal,alerte,samedi,non
1074,2025-01-19 06:00:00.000000,b5,centre commercial,a,21.2,62.3,785.0,18.0,101.5,normal,normal,dimanche,non
1498,2025-05-05 06:00:00.000000,b8,entrepôt,c,26.4,61.0,760.0,44.0,133.7,eco,normal,lundi,non
1308,2025-03-18 18:00:00.000000,b2,école,d,25.3,31.4,748.0,34.0,167.9,eco,normal,mardi,non
1205,2025-02-21 00:00:00.000000,b4,bureau,a,25.0,75.4,787.5,63.0,193.9,normal,normal,vendredi,non
1069,2025-01-18 00:00:00.000000,b2,école,d,23.7,40.5,490.0,54.0,185.2,normal,normal,samedi,non
1091,2025-01-23 12:00:00.000000,b5,centre commercial,b,28.3,72.8,5200.0,44.0,171.5,eco,normal,jeudi,oui
1392,2025-04-08 18:00:00.000000,b7,bureau,c,23.3,59.1,1254.0,28.0,106.7,eco,normal,mardi,oui
1034,2025-01-09 06:00:00.000000,b2,école,c,29.2,64.4,356.0,57.0,244.0,boost,normal,jeudi,non
1071,2025-01-18 12:00:00.000000,b2,école,c,21.6,58.8,645.0,33.0,137.4,boost,normal,samedi,non
1472,2025-04-28 18:00:00.000000,b3,hôpital,c,31.2,58.1,531.0,30.0,224.2,boost,normal,lundi,non
1001,2025-01-01 00:00:00.000000,b8,entrepôt,a,21.5,40.1,1031.0,50.0,150.4,normal,normal,mercredi,oui
1012,2025-01-03 18:00:00.000000,b5,centre commercial,c,22.9,58.5,544.0,43.0,172.2,normal,normal,vendredi,non
1282,2025-03-12 06:00:00.000000,b1,bureau,b,22.2,64.9,1022.0,40.0,136.7,normal,normal,mercredi,oui
1023,2025-01-06 12:00:00.000000,b1,bureau,b,23.843762781186093,66.1,1299.0,75.0,187.0,normal,normal,lundi,oui
1102,2025-01-26 06:00:00.000000,b4,bureau,c,21.3,38.5,1046.0,33.0,114.0,normal,normal,dimanche,oui
1269,2025-03-09 00:00:00.000000,b5,centre commercial,b,29.7,48.3,1084.0,71.0,239.5,eco,normal,dimanche,oui
1487,2025-05-02 12:00:00.000000,b5,centre commercial,b,24.7,56.8,845.0,53.0,207.1,normal,normal,vendredi,non
1479,2025-04-30 12:00:00.000000,b3,hôpital,b,23.9,68.9,644.0,27.0,162.5,normal,normal,mercredi,non
1291,2025-03-14 12:00:00.000000,b8,entrepôt,b,20.5,49.8,497.0,13.0,64.8,eco,alerte,vendredi,non
1085,2025-01-22 00:00:00.000000,b4,bureau,a,19.4,54.6,826.0,36.0,120.1,normal,normal,mercredi,non
1246,2025-03-03 06:00:00.000000,b5,centre commercial,a,24.2,57.4,813.0,18.0,170.7987951807229,normal,normal,lundi,non
1064,2025-01-16 18:00:00.000000,b1,bureau,c,26.1,62.3,915.0,17.0,144.2,normal,normal,jeudi,oui
1056,2025-01-14 18:00:00.000000,b6,ecole,c,21.4,68.7,1022.0,62.0,224.4,boost,normal,mardi,oui
1230,2025-02-27 06:00:00.000000,b8,entrepôt,c,20.1,40.5,850.0,45.0,179.3,boost,normal,jeudi,non
1019,2025-01-05 12:00:00.000000,b8,entrepôt,d,14.5,57.0,769.0,10.0,45.9,normal,normal,dimanche,non
1352,2025-03-29 18:00:00.000000,b6,université,b,28.6,64.9,758.0,66.0,276.3,boost,normal,samedi,non
1210,2025-02-22 06:00:00.000000,b6,université,b,21.5,80.5,918.0,0.0,47.2,eco,normal,samedi,non
1397,2025-04-10 00:00:00.000000,b8,entrepôt,a,20.4,53.2,710.0,7.0,84.9,normal,normal,jeudi,non
1083,2025-01-21 12:00:00.000000,b4,bureau,c,25.8,74.3,995.0,58.0,188.7,eco,normal,mardi,oui
1040,2025-01-10 18:00:00.000000,b7,bureau,a,23.843762781186093,52.6,1079.0,8.0,157.0,boost,normal,vendredi,oui
1458,2025-04-25 06:00:00.000000,b8,entrepôt,c,27.8,74.3,297.0,63.0,205.4,eco,normal,vendredi,non
1047,2025-01-12 12:00:00.000000,b1,bureau,d,22.6,51.0,1056.0,61.0,182.6,normal,normal,dimanche,oui
1415,2025-04-14 12:00:00.000000,b8,entrepôt,a,25.2,71.2,687.0,34.0,152.2,normal,panne,lundi,non
1461,2025-04-26 00:00:00.000000,b6,université,d,25.1,84.9,639.0,36.0,201.2,boost,normal,samedi,non
